index,capacity,chp,chp_capacity,city,commissioned,company,zone,eta,fuel,lat,lon,name,postcode,status,street,technology
0,16.8,yes,,Alfeld,1988,Sappi Alfeld GmbH,DE,0.38,Biomass and biogas,51.984761,9.822831,Werkskraftwerk Sappi Alfeld,31061,operating,Mühlenmarsch 1,Steam turbine
1,9.8,no,,Altenstadt,1999,Heizkraftwerk Altenstadt GmbH & Co. KG,DE,0.38,Biomass and biogas,47.79714,10.85874,HKW Altenstadt,86972,operating,Triebstraße 90,Steam turbine
2,138.9,yes,600,Arneburg,2004,Zellstoff Stendal GmbH,DE,0.38,Biomass and biogas,52.72713,12.01115,Zellstoff Stendal GmbH,39596,operating,Goldbecker Straße 1,Steam turbine
3,1.1,yes,,Aschaffenburg,2005,DS Smith Paper Deutschland GmbH,DE,0.38,Biomass and biogas,49.988218,9.155761,Blockheizkraftwerk 1,63741,operating,Weichertstr. 7,Steam turbine
4,0.8,yes,,Aschaffenburg,2010,DS Smith Paper Deutschland GmbH,DE,0.38,Biomass and biogas,49.988218,9.155761,Blockheizkraftwerk 2,63741,operating,Weichertstr. 7,Steam turbine
5,16,yes,,Baruth/Mark,2002,Pfleiderer Baruth GmbH,DE,0.38,Biomass and biogas,52.07778,13.51725,UTB,15837,operating,An der Birkenpfuhlheide 3,Steam turbine
6,17.7,no,,Bergkamen,2005,RWE Energiedienstleistungen GmbH,DE,0.38,Biomass and biogas,51.63701,7.61876,BMKW Bergkamen,59192,operating,Ernst-Schering-Straße 10,Steam turbine
7,16.5,yes,,Berlin,2005,RWE Energiedienstleistungen GmbH,DE,0.38,Biomass and biogas,52.42529,13.517308,HHKW Berlin-Neukölln,12355,operating,Köpenicker Straße 32,Steam turbine
8,20,no,,Bertikow,2003,ENERTRAG Aktiengesellschaft,DE,0.38,Biomass and biogas,53.252132,13.957019,ENERTRAG Netz GmbH  (UW Bertikow),17291,operating,,Steam turbine
9,18.1,no,,Bischofferode,2006,Stadtwerke Leipzig GmbH,DE,0.38,Biomass and biogas,51.48993,10.41307,Biomassekraftwerk Bischofferode,37345,operating,,Steam turbine
10,18,yes,,Brilon ,1990,Egger Kraftwerk Brilon GmbH,DE,0.38,Biomass and biogas,51.40667,8.60115,Egger Kraftwerk Briilon,59929,operating,Im Kissen 19,Steam turbine
11,13.2,yes,,Ehingen,1990,Sappi Ehingen GmbH,DE,0.38,Biomass and biogas,48.26698,9.72615,Werkskraftwerk Sappi Ehingen,89584,operating,Kessel 5 - Turbine 5,Steam turbine
12,8,yes,,Ehingen,1961,Sappi Ehingen GmbH,DE,0.38,Biomass and biogas,48.26693,9.72626,Werkskraftwerk Sappi Ehingen,89584,operating,Kessel 4 - Turbine 3,Steam turbine
13,20,yes,,Emden,2005,Statkraft Markets GmbH,DE,0.38,Biomass and biogas,53.34217,7.20624,Emden Biomasse,26725,operating,,Steam turbine
14,20,yes,,Emlichheim,2006,RWE Vertrieb AG,DE,0.38,Biomass and biogas,52.619274,6.86931,Biomasse-HKW,49824,operating,Neuerostraße 8,Steam turbine
15,12.6,no,,Flörsheim Wicker,2003,MVV Energie AG,DE,0.38,Biomass and biogas,50.022602,8.377209,BMKW Flörsheim Wicker,65439,operating,Am Steinmühlenweg 5,Steam turbine
16,12.4,yes,,Frankfurt am Main,2004,Mainova AG,DE,0.38,Biomass and biogas,50.12943,8.76792,BKF,60382,operating,Alt Fechenheim 34,Steam turbine
17,12.1,yes,,Gütersloh,2001,Pfleiderer Gütersloh GmbH,DE,0.38,Biomass and biogas,51.91537,8.40031,KWK Gütersloh,33332,operating,Stadtring Nordhorn 61,Steam turbine
18,20,yes,,Hagen,2004,Mark-E AG,DE,0.38,Biomass and biogas,51.411114,7.491698,Biomasse-Verstromungs-Anlage,58099,operating,,Steam turbine
19,20,yes,,Hamburg,2005,MVB Müllverwertung Borsigstraße GmbH,DE,0.38,Biomass and biogas,53.53188044,10.07459164,Müllverwertung Borsigstraße MVB,22113,operating,Borsigstraße 3,Steam turbine
20,16.8,no,,Hameln,2002,Enertec Hameln GmbH,DE,0.38,Biomass and biogas,52.09875,9.38821,Enertec Hameln,31789,operating,,Steam turbine
21,18.6,no,,Heiligengrabe,2002,Kronoply GmbH,DE,0.38,Biomass and biogas,53.148966,12.379742,Energieanlage 3,16909,operating,Wittstocker Chaussee 1,Steam turbine
